Code,Nitrosocosmicus sp.,Udaeobacter sp.,Gemmata sp.,Humicola olivacea,Aspergillus terreus,Ilumatobacter sp.,Talaromyces marneffei,Scytalidium sp.,Rubrobacter sp.,Fusarium brachygibbosum,Humicola sp.,Curvularia lunata,Neobacillus drentensis,Rhodoplanes sp.,Solirubrobacter sp.,Target_Crop_Grouped,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Frijol,Irrigation_Type_Superficie,Product_1_Type_Fertilizante sintético
AZM04V,1.849605637651614,-2.6554988364377627,-0.3137407893969759,1.103473009492367,1.6953951789460229,-0.0492687115424357,-0.1471915194171615,0.0715186057733942,1.0902231111411214,0.2326395031006654,-0.6273702050950638,0.9310098282682288,-5.830400706644669,-0.3771344999893851,0.9392852375099506,3,1,0,0,3,1,3,0,1,1,1
AZM04X,0.980107376721394,-0.2784889494879742,-0.958625529798462,-0.206201117625823,2.3617273361424695,-0.6919514483678266,-0.4001187416388322,-1.7469803556299428,0.9704415560996756,-0.2037214587014928,-0.3487171704821472,0.7715487220619935,0.6260048947949738,-0.2129552366277765,1.3474274518653386,3,1,1,0,0,0,0,0,1,1,0
AZM04Y,1.298724864534751,-4.0562488194407065,-0.0566687267359666,-0.3349632831581183,1.764362385580705,0.6467307296429704,0.6899334300843967,-2.179518239974085,1.8922034365526668,1.434519768136862,-1.004638861487979,0.4225606622254786,-5.4786095442643505,-0.0401206816034564,1.922631879751676,3,1,0,0,0,0,0,0,1,1,0
AZM04Z,2.626420835189329,2.0029044107119867,0.9293547716421426,-0.4629057818985549,0.6521275265561254,1.974185982695938,-2.4508177004970753,2.604993540171071,1.4234150442147788,-4.844349951767017,4.144401859722815,-4.844349951767017,0.4245274505309497,1.957397395062842,2.4470272362560075,2,-1,-1,-1,0,0,0,0,0,0,0
AZM051,1.960673930998144,1.6159529075802257,0.1648437892373487,-0.3158544937033069,-1.3602503267643766,1.2811994736820935,-1.3148669718675663,1.7981750617736454,0.8422318873961181,-5.049436642058869,2.950300854565848,1.582502942733545,1.787920531453119,1.507366064452066,1.7763870002715143,2,-1,-1,-1,0,0,0,0,0,0,0
AZM052,1.990568603346829,2.1765316825619196,0.2674073524129166,-1.6138186528232834,-0.644960832311792,1.3024379050399864,-0.3747490809726866,1.777580989804256,2.18148609405248,-4.876787338689135,3.2347921943977376,0.5376680042283704,1.0357259321826713,2.1798373494071757,2.6481757523548715,2,-1,-1,-1,0,0,0,0,0,0,0
AZM053,1.5478982430470964,-0.8030184971503511,-0.4033748067162108,-1.1563967592735744,1.249275048530038,0.0397172174726688,-0.7200252045090705,-2.468501566012014,1.2306286428669904,-1.9062091472218503,1.270204323818893,1.3304856716732951,0.2548209073213862,0.4481025505171858,1.5745465169362969,0,-1,-1,-1,0,0,0,0,0,0,0
AZM054,2.7436305301963477,-0.4409889204258967,0.8217707544905646,-1.3954358946791254,2.8569476802454323,0.3495809204130549,1.1233319419418792,-4.941234927768744,1.374201785266149,-0.8215556926999317,-1.570234770234344,4.345226342278785,0.5618717487374025,0.2465896521868269,1.5184269559068215,0,-1,-1,-1,0,0,0,0,0,0,0
AZM055,2.2904329368230623,1.318094632861244,1.3318161945589966,-2.3588784430216827,-4.5127369624769695,2.1163117339852833,-1.9653763285035304,1.90258309467062,1.0367439607804136,-4.5127369624769695,2.5478905736793185,-4.5127369624769695,-2.4258817067467597,2.3055582241402033,1.9987586312897845,2,-1,-1,-1,0,0,0,0,0,0,0
AZM056,1.28690982492912,-0.8256510509393551,-0.7317158848903967,0.3675965826649698,1.1150632351529512,-0.6656369660476581,0.1995697706008615,-0.259491589884765,0.7338891635362966,0.1915189169702415,-0.5113592186134948,0.6799555866847518,0.3901824686767377,-0.3554530624598928,0.9853738640162478,3,1,1,0,0,0,0,0,1,1,0
AZM057,2.835121983830496,-2.0278851238797646,0.902705873707901,-0.164967591959152,4.3981482418705635,1.4135874714598309,4.236365636784101,-4.6248074891988855,2.418258799304565,-1.521064314132553,0.0387306626966609,2.5346747540877415,-4.6248074891988855,1.2676203652508422,2.2165761080918704,0,1,0,-1,1,2,1,1,0,0,1
AZM058,1.0973981051596118,-0.3895380199228967,-1.5606190313264394,0.2961867844227127,-0.2177933833586997,-0.6071001475068887,-2.0680704949430657,0.0499862216360281,0.6269460181055311,-0.3686621788335397,1.2397569830754431,1.8702091241945364,0.3926700457053442,-0.2125285858113578,0.8590419875624709,1,0,0,0,1,1,1,2,0,1,1
AZM059,1.6164886831362353,0.7023479425276358,-0.5449670822882636,-0.157842539912451,-0.5562109176069812,0.7198906242383444,-1.8692230716311984,2.227402129517699,0.8680253360428354,-1.4000078525839843,3.112083397389971,-0.1170911886472894,0.8788720443168043,1.3181208998556058,1.6532119382465016,1,1,0,0,1,0,2,6,0,1,1
AZM05A,-0.1518875005562347,-1.17722738851568,1.031088372148483,-1.7398845508003131,-2.369483573171932,1.4755630261188697,-2.6578736487134766,-1.4519196975628696,2.170701053476974,-1.139317466542247,-1.9633109628877776,1.4457137088007848,-4.878023126050326,1.850070438424176,2.8110897443650043,2,-1,-1,-1,0,0,0,0,0,0,0
AZM05B,1.4241307236541023,-0.7890497482693076,-0.5552985508062585,-0.7989451380354495,2.161374600125916,-0.2790714391211208,0.4419010997306349,-0.4307198711689123,0.5579353722530481,-1.0313913361522904,-0.8687772496824786,1.0318988049438933,0.1887190227971591,-0.3273820059184253,1.1214262938778956,0,1,0,-1,2,2,1,1,0,1,1
AZM05C,-3.928182211390207,2.6072572568161347,1.6135514345499018,0.5960159342563294,-3.928182211390207,0.0099133914872986,2.09408391249977,-0.2514782427878917,1.470674285932891,-3.928182211390207,-3.928182211390207,2.103864261878678,3.1024111758124167,3.473623468378652,2.046904014665212,2,-1,-1,-1,0,0,0,0,0,0,0
