Microbe_Name
Pelomonas sp.
Piscinibacter aquaticus
Piscinibacter sp.
Ramlibacter ginsenosidimutans
Ramlibacter sp.
Rhizobacter sp.
Rivibacter sp.
Roseateles depolymerans
Rubrivivax gelatinosus
Rubrivivax sp.
Symbiobacter sp.
Tepidimonas ignava
Variovorax paradoxus
Variovorax soli
Xenophilus aerolatus
Zhizhongheella caldifontis
Polyangium brachysporum
Sideroxydans paludicola
Sideroxydans sp.
Annwoodia aquaesulis
Thiobacillus denitrificans
Thiobacillus thioparus
Leeia sp.
Methylobacillus sp.
Methylotenera sp.
Nitrosomonas nitrosa
Nitrosomonas sp.
Duganella sp.
Herbaspirillum sp.
Massilia chloroacetimidivorans
Massilia sp.
Massilia timonae
Massilia varians
Noviherbaspirillum agri
Noviherbaspirillum sp.
Oxalobacter sp.
Paucimonas lemoignei
Pseudoduganella sp.
Undibacterium sp.
Accumulibacter sp.
Azoarcus indigens
Azoarcus olearius
Azoarcus sp.
Azoarcus taiwanensis
Azoarcus tolulyticus
Azonexus caeni
Azonexus fungiphilus
Azonexus hydrophilus
Azospira restricta
Azospira sp.
Azovibrio sp.
Dechlorobacter sp.
Dechloromonas agitata
Dechloromonas denitrificans
Dechloromonas sp.
Dechlorosoma suillum
Denitratisoma oestradiolicum
Denitratisoma sp.
Ferribacterium sp.
Georgfuchsia sp.
Georgfuchsia toluolica
Methyloversatilis discipulorum
Methyloversatilis sp.
Pelocola oligotropha
Propionivibrio sp.
Sulfurisoma sediminicola
Sulfuritalea sp.
Thauera humireducens
Thauera phenylacetica
Thauera sp.
Zoogloea sp.
Allochromatium phaeobacterium
Coxiella sp.
Aquicella sp.
Aeromonas hydrophila
Aeromonas sp.
Aeromonas veronii
Pseudaeromonas sharmana
Citrobacter amalonaticus
Klebsiella pneumoniae
Kosakonia oryzae
Kosakonia sacchari
Haemophilus parainfluenzae
Acidibacter sp.
Berkiella sp.
Ovatusbacter sp.
Legionella anisa
Legionella quateirensis
Legionella sp.
Methylocaldum gracile
Methylocaldum sp.
Crenothrix sp.
Methylobacter luteus
Methylobacter sp.
Methylobacter ucrainicus
Methylomicrobium sp.
Methylomonas koyamae
Methylomonas lenta
Cellvibrio mixtus
Acinetobacter junii
Cavicella sp.
Cavicella subterranea
Permianibacter sp.
Azotobacter chroococcum
Azotobacter nigricans
Azotobacter salinestris
Azotobacter sp.
Azotobacter tropicalis
Pseudomonas alcaligenes
Pseudomonas indica
Pseudomonas linyingensis
Pseudomonas mendocina
Pseudomonas peli
Pseudomonas putida
Pseudomonas sp.
Fontimonas sp.
Hydrocarboniphaga daqingensis
Nevskia sp.
Panacagrimonas perspica
Panacagrimonas sp.
Polycyclovorans sp.
Solimonas sp.
Povalibacter uvarum
Steroidobacter flavus
Steroidobacter sp.
Thiothrix sp.
Ahniella affigens
Ahniella sp.
Aquimonas sp.
Chujaibacter sp.
Dokdonella ginsengisoli
Dokdonella sp.
Dyella sp.
Fulvimonas yonginensis
Rhodanobacter sp.
Arenimonas daechungensis
Arenimonas metalli
Arenimonas sp.
Lysobacter brunescens
Lysobacter bugurensis
Lysobacter fragariae
Lysobacter olei
